HCPCS Code,Description,Trade Name(s),Payments,% of drug pmts,Cum. % of drug pmts,Unique Beneficiaries
J2778,Ranibizumab injection,Lucentis,"$954,573,699",19.71%,19.71%,143980
J1745,Infliximab injection,Remicade,"$443,547,521",9.16%,28.87%,42645
J2505,"Injection, pegfilgrastim 6mg",Neulasta,"$433,973,079",8.96%,37.83%,76673
J9310,Rituximab injection,Rituxan,"$425,496,903",8.79%,46.61%,35654
J9035,Bevacizumab injection,Avastin,"$219,383,372",4.53%,51.14%,172587
J0897,Denosumab injection,Prolia,"$169,937,122",3.51%,54.65%,90193
J9217,Leuprolide acetate suspnsion,Leupron,"$152,701,394",3.15%,57.81%,119326
J0885,"Epoetin alfa, non-esrd","Procrit, Epogen","$147,181,217",3.04%,60.84%,119017
J3590,Unclassified biologics,-,"$128,874,736",2.66%,63.50%,166586
J0881,"Darbepoetin alfa, non-esrd",Aranesp,"$119,190,157",2.46%,65.97%,73535
J0129,Abatacept injection,Orencia,"$108,449,706",2.24%,68.21%,13916
J2469,Palonosetron hcl,Aloxi,"$104,103,523",2.15%,70.35%,175361
J3490,Drugs unclassified injection,-,"$103,015,798",2.13%,72.48%,138649
J2785,Regadenoson injection,Lexiscan,"$97,085,715",2.00%,74.49%,596649
J3487,Zoledronic acid,"Reclast, Zometa","$86,782,144",1.79%,76.28%,38394
J7325,Synvisc or Synvisc-One,"Synvisc, Synvisc-One","$86,173,257",1.78%,78.06%,146379
J7192,Factor viii recombinant NOS,,"$70,864,751",1.46%,79.52%,357
J0585,"Injection,onabotulinumtoxinA",,"$69,363,431",1.43%,80.95%,43484
J3488,Reclast injection,,"$69,106,573",1.43%,82.38%,78774
J9263,Oxaliplatin,,"$65,790,944",1.36%,83.74%,8164
J9041,Bortezomib injection,,"$51,196,204",1.06%,84.80%,7805
J7321,Hyalgan/supartz inj per dose,,"$44,761,725",0.92%,85.72%,124551
J9171,Docetaxel injection,,"$40,492,106",0.84%,86.56%,15028
J9305,Pemetrexed injection,,"$39,956,398",0.83%,87.38%,3048
J7324,Orthovisc inj per dose,,"$38,697,749",0.80%,88.18%,80575
J1441,Filgrastim 480 mcg injection,,"$38,446,843",0.79%,88.97%,21857
J2323,Natalizumab injection,,"$30,921,895",0.64%,89.61%,2716
J7323,Euflexxa inj per dose,,"$30,303,290",0.63%,90.24%,72137
J9355,Trastuzumab injection,,"$29,741,729",0.61%,90.85%,2773
J1561,Gamunex/gamunex c,,"$28,668,364",0.59%,91.44%,1393
J2357,Omalizumab injection,,"$21,755,068",0.45%,91.89%,2770
J0152,Adenosine injection,,"$17,882,198",,,100913
J9201,Gemcitabine hcl injection,,"$16,332,444",,,20156
J9025,Azacitidine injection,,"$16,105,653",,,2531
J1569,Gammagard liquid injection,,"$14,684,778",,,1586
J2353,"Octreotide injection, depot",,"$14,462,737",,,906
J3262,Tocilizumab injection,,"$13,926,498",,,2216
J0641,Levoleucovorin injection,,"$13,795,212",,,5123
J1453,Fosaprepitant injection,,"$13,442,396",,,28475
J1568,Octagam injection,,"$13,223,857",,,1397
J7308,Aminolevulinic acid hcl top,,"$13,150,248",,,65085
J1440,Filgrastim 300 mcg injection,,"$12,315,749",,,10275
J9033,Bendamustine injection,,"$10,695,365",,,1486
J0475,Baclofen 10 MG injection,,"$10,335,645",,,5192
J9055,Cetuximab injection,,"$10,177,575",,,708
J3301,Triamcinolone acet inj NOS,,"$10,145,080",,,1579787
J0702,Betamethasone acet&sod phosp,,"$9,518,636",,,715076
J9395,"Injection, Fulvestrant",,"$9,486,608",,,1672
J3315,Triptorelin pamoate,,"$8,849,314",,,9170
J2820,Sargramostim injection,,"$8,107,911",,,4829
J9264,Paclitaxel protein bound,,"$8,048,372",,,1041
J1040,Methylprednisolone 80 MG inj,,"$7,753,435",,,944012
J0718,Certolizumab pegol inj,,"$7,346,388",,,1156
J9228,Ipilimumab injection,,"$6,734,850",,,71
J7195,Factor IX recombinant,,"$6,230,770",,,43
J1459,Inj IVIG privigen 500 mg,,"$6,162,147",,,663
J1740,Ibandronate sodium injection,,"$6,136,394",,,8037
J7190,Factor viii,,"$5,754,683",,,55
J2503,Pegaptanib sodium injection,,"$5,545,850",,,1858
J1750,Inj iron dextran,,"$4,981,628",,,23281
J9070,Cyclophosphamide 100 MG inj,,"$4,975,771",,,10667
J7312,Dexamethasone intra implant,,"$4,855,540",,,2811
J1030,Methylprednisolone 40 MG inj,,"$4,739,227",,,1136225
J9031,Bcg live intravesical vac,,"$4,491,493",,,14133
J3396,Verteporfin injection,,"$3,805,114",,,2744
J0775,"Collagenase, clost hist inj",,"$3,697,043",,,1134
J1786,Imuglucerase injection,,"$3,692,040",,,35
J9265,Paclitaxel injection,,"$3,529,050",,,30924
J9225,Vantas implant,,"$3,345,552",,,1375
J9045,Carboplatin injection,,"$2,663,469",,,54733
J1572,Flebogamma injection,,"$2,527,734",,,209
J7799,Non-inhalation drug for DME,,"$2,177,906",,,4731
J3300,Triamcinolone A inj PRS-free,,"$2,155,631",,,19571
J2275,Morphine sulfate injection,,"$2,092,084",,,4363
J1335,Ertapenem injection,,"$2,040,292",,,6208
J7187,"Humate-P, inj",,"$2,029,826",,,12
J9155,Degarelix injection,,"$2,017,000",,,2829
J7193,Factor IX non-recombinant,,"$1,939,816",,,13
J2278,Ziconotide injection,,"$1,878,635",,,298
J0490,Belimumab injection,,"$1,762,542",,,122
J0588,Incobotulinumtoxin a,,"$1,632,713",,,1633
J9202,Goserelin acetate implant,,"$1,492,138",,,1791
J0587,"Inj, rimabotulinumtoxinB",,"$1,328,057",,,1033
J1170,Hydromorphone injection,,"$1,289,853",,,8478
J1080,Testosterone cypionat 200 MG,,"$1,281,827",,,45621
J0600,Edetate calcium disodium inj,,"$1,279,793",,,703
J0586,AbobotulinumtoxinA,,"$1,256,150",,,857
J2794,"Risperidone, long acting",,"$1,244,844",,,373
J2796,Romiplostim injection,,"$1,198,515",,,82
J2997,Alteplase recombinant,,"$1,068,534",,,8078
J2916,Na ferric gluconate complex,,"$1,034,691",,,8241
J2426,Paliperidone palmitate inj,,"$983,248",,,359
J0735,Clonidine hydrochloride,,"$872,380",,,3362
J1566,"Immune globulin, powder",,"$775,016",,,141
J2355,Oprelvekin injection,,"$753,572",,,522
J1020,Methylprednisolone 20 MG inj,,"$730,096",,,151905
J2010,Lincomycin injection,,"$694,636",,,73966
J9190,Fluorouracil injection,,"$651,064",,,25510
J9043,Cabazitaxel injection,,"$600,660",,,29
J0894,Decitabine injection,,"$537,680",,,80
J1652,Fondaparinux sodium,,"$528,756",,,2122
J9999,Chemotherapy drug,,"$470,849",,,258
J9206,Irinotecan injection,,"$460,987",,,3058
J3370,Vancomycin hcl injection,,"$383,621",,,6759
J2930,Methylprednisolone injection,,"$357,394",,,79272
J1212,Dimethyl sulfoxide 50% 50 ML,,"$357,140",,,1150
J0640,Leucovorin calcium injection,,"$324,548",,,8523
J1070,Testosterone cypionat 100 MG,,"$319,850",,,10864
J3303,Triamcinolone hexacetonl inj,,"$315,915",,,42948
J9214,Interferon alfa-2b inj,,"$315,348",,,105
J2805,Sincalide injection,,"$311,065",,,5678
J7326,Gel-one,,"$278,931",,,414
J1650,Inj enoxaparin sodium,,"$276,340",,,2893
J1631,Haloperidol decanoate inj,,"$272,148",,,1919
J3240,Thyrotropin injection,,"$257,687",,,177
J0207,Amifostine,,"$257,073",,,281
J9280,Mitomycin 5 MG inj,,"$255,602",,,2156
J1610,Glucagon hydrochloride/1 MG,,"$208,269",,,2368
J2430,Pamidronate disodium /30 MG,,"$193,297",,,2616
J3130,Testosterone enanthate inj,,"$166,495",,,3790
J1670,Tetanus immune globulin inj,,"$161,638",,,2253
J9060,Cisplatin 10 MG injection,,"$139,827",,,5610
J0692,Cefepime HCl for injection,,"$139,618",,,1611
J3470,Hyaluronidase injection,,"$138,600",,,1967
J2562,Plerixafor injection,,"$136,032",,,12
J1720,Hydrocortisone sodium succ i,,"$120,217",,,11652
J7309,"Methyl aminolevulinate, top",,"$119,405",,,775
J0561,Penicillin g benzathine inj,,"$111,797",,,3317
J9390,Vinorelbine tartrate inj,,"$108,648",,,661
J2920,Methylprednisolone injection,,"$107,010",,,37541
J2360,Orphenadrine injection,,"$103,822",,,4681
J3415,Pyridoxine hcl 100 mg,,"$95,682",,,3285
J1410,Inj estrogen conjugate 25 MG,,"$94,531",,,278
J2680,Fluphenazine decanoate 25 MG,,"$93,740",,,1136
J0834,Cosyntropin cortrosyn inj,,"$93,358",,,1213
J9351,Topotecan injection,,"$92,082",,,85
J1250,Inj dobutamine HCL/250 mg,,"$89,181",,,20798
J0740,Cidofovir injection,,"$88,763",,,139
J0725,Chorionic gonadotropin/1000u,,"$86,183",,,831
J1950,Leuprolide acetate /3.75 MG,,"$78,288",,,35
J1645,Dalteparin sodium,,"$77,600",,,559
J9001,Doxorubicin hcl liposome inj,,"$77,507",,,12
J9000,Doxorubicin hcl injection,,"$70,331",,,1547
J2550,Promethazine hcl injection,,"$68,624",,,28905
J2185,Meropenem,,"$62,293",,,232
J2760,Phentolaine mesylate inj,,"$57,922",,,516
J2315,"Naltrexone, depot form",,"$47,120",,,28
J7638,Dexamethasone comp unit,,"$45,847",,,512
J0743,Cilastatin sodium injection,,"$42,259",,,110
J0583,Bivalirudin,,"$41,000",,,46
J3411,Thiamine hcl 100 mg,,"$38,892",,,4138
J1000,Depo-estradiol cypionate inj,,"$37,897",,,1900
J0670,Inj mepivacaine HCL/10 ml,,"$37,495",,,6485
J2800,Methocarbamol injection,,"$37,406",,,997
J9260,Methotrexate sodium inj,,"$37,123",,,2115
J1580,Garamycin gentamicin inj,,"$35,737",,,65015
J2175,Meperidine hydrochl /100 MG,,"$35,108",,,17461
J2543,Piperacillin/tazobactam,,"$34,738",,,124
J9208,Ifosfamide injection,,"$31,416",,,48
J0713,Inj ceftazidime per 500 mg,,"$29,159",,,733
J0886,Epoetin alfa 1000 units ESRD,,"$28,294",,,32
J7335,Capsaicin 8% patch,,"$28,000",,,23
J0800,Corticotropin injection,,"$27,100",,,197
J1956,Levofloxacin injection,,"$26,832",,,1386
J0558,PenG benzathine/procaine inj,,"$26,606",,,1126
J1380,Estradiol valerate 10 MG inj,,"$25,495",,,714
J3120,Testosterone enanthate inj,,"$24,581",,,831
J2400,Chloroprocaine hcl injection,,"$23,646",,,742
J9179,Eribulin mesylate injection,,"$23,360",,,11
J1110,Inj dihydroergotamine mesylt,,"$22,333",,,560
J2271,Morphine so4 injection 100mg,,"$21,896",,,283
J0694,Cefoxitin sodium injection,,"$20,586",,,2030
J9268,Pentostatin injection,,"$20,104",,,11
J0130,Abciximab injection,,"$19,915",,,116
J0698,Cefotaxime sodium injection,,"$19,011",,,10321
J9185,Fludarabine phosphate inj,,"$17,296",,,44
J9209,Mesna injection,,"$17,064",,,54
J2270,Morphine sulfate injection,,"$16,623",,,3414
J3070,Pentazocine injection,,"$16,505",,,392
J0500,Dicyclomine injection,,"$15,731",,,366
J3260,Tobramycin sulfate injection,,"$15,702",,,6076
J1190,Dexrazoxane HCl injection,,"$15,694",,,45
J2510,Penicillin g procaine inj,,"$14,618",,,944
J3250,Trimethobenzamide hcl inj,,"$14,549",,,1272
J0945,Brompheniramine maleate inj,,"$13,763",,,11569
J1260,Dolasetron mesylate,,"$13,484",,,460
J0895,Deferoxamine mesylate inj,,"$12,369",,,73
J3472,"Ovine, 1000 USP units",,"$11,696",,,52
J2260,Inj milrinone lactate / 5 MG,,"$10,605",,,31
J0470,Dimecaprol injection,,"$10,340",,,75
J9370,Vincristine sulfate 1 MG inj,,"$10,228",,,770
J2310,Inj naloxone hydrochloride,,"$9,803",,,596
J1460,Gamma globulin 1 CC inj,,"$9,605",,,61
J0770,Colistimethate sodium inj,,"$9,369",,,191
J7110,Dextran 75 infusion,,"$8,481",,,129
J0290,Ampicillin 500 MG inj,,"$8,195",,,3680
J1051,Medroxyprogesterone inj,,"$7,920",,,233
J2690,Procainamide hcl injection,,"$7,568",,,401
J7070,D5w infusion,,"$7,426",,,1995
J0697,Sterile cefuroxime injection,,"$6,128",,,2157
J0180,Agalsidase beta injection,,"$5,376",,,31
J7626,Budesonide non-comp unit,,"$5,202",,,1060
J2020,Linezolid injection,,"$5,126",,,172
J0456,Azithromycin,,"$4,764",,,443
J2545,Pentamidine non-comp unit,,"$4,755",,,79
J0287,Amphotericin b lipid complex,,"$4,308",,,289
J1450,Fluconazole,,"$4,302",,,251
J2850,Inj secretin synthetic human,,"$4,160",,,13
J1600,Gold sodium thiomaleate inj,,"$4,029",,,41
J2150,Mannitol injection,,"$3,969",,,944
J9040,Bleomycin sulfate injection,,"$3,804",,,47
J0295,Ampicillin sodium per 1.5 gm,,"$3,345",,,494
